sex;prefecture;pop_total;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
Male;Hokkaido;2.465.088;15.240;15.884;16.650;17.315;18.050;18.748;19.060;19.382;19.659;20.046;20.612;20.571;21.111;21.161;21.408;21.333;22.697;22.861;23.910;23.584;23.682;23.341;23.659;23.535;23.023;23.385;23.303;22.880;23.425;23.403;23.684;24.396;25.643;26.252;26.642;27.602;28.698;29.346;29.013;29.654;31.306;32.606;33.718;34.605;36.565;38.590;39.622;39.741;39.092;37.495;35.979;35.270;34.661;35.061;27.668;34.185;32.809;32.658;32.138;32.498;32.997;32.809;31.700;31.954;33.072;34.361;35.812;37.616;39.542;40.590;42.848;43.938;41.476;36.300;26.948;24.578;27.845;27.233;26.287;24.819;22.641;19.421;20.261;18.956;17.603;16.342;14.331;12.595;10.950;9.234;7.867;5.955;4.902;3.498;2.485;1.820;1.222;778;529;342;516
Male;Aomori-ken;583.402;3.461;3.581;3.889;3.983;4.245;4.250;4.529;4.508;4.587;4.664;4.744;4.790;5.082;5.051;5.119;5.242;5.747;5.990;5.566;4.899;4.944;5.081;4.885;4.706;4.684;4.800;5.010;4.830;5.025;5.034;5.091;5.342;5.633;5.654;5.950;6.300;6.553;6.749;6.759;6.906;7.413;7.612;7.760;8.019;8.186;8.608;8.812;8.873;8.673;8.405;8.462;8.421;8.666;8.350;6.831;8.374;8.211;8.095;8.371;8.441;8.480;8.892;8.588;8.487;8.590;9.212;9.362;9.768;9.961;10.046;10.720;10.894;10.362;9.887;5.777;5.793;6.745;6.485;6.415;5.712;5.301;4.488;5.003;4.743;4.235;3.924;3.357;3.011;2.562;2.109;1.571;1.278;1.038;721;513;353;214;136;82;56;85
Male;Iwate-ken;582.952;3.321;3.629;3.799;4.114;4.257;4.381;4.510;4.695;4.744;4.730;4.944;5.154;5.205;5.316;5.120;5.386;5.702;5.832;5.494;5.010;5.032;4.768;4.813;4.971;4.725;4.958;4.925;4.999;5.116;5.098;5.259;5.406;5.691;5.697;6.091;6.187;6.598;6.691;6.945;6.932;7.194;7.517;7.899;7.976;8.392;8.574;8.743;8.809;8.649;8.215;8.117;8.132;8.180;8.032;6.588;8.132;8.101;8.111;8.092;8.196;8.324;8.648;8.645;8.291;8.930;9.128;9.147;9.512;9.857;9.909;10.260;10.542;9.753;8.990;5.625;5.462;6.840;6.341;6.251;5.889;5.456;4.869;5.080;4.782;4.634;4.148;3.614;3.261;2.943;2.352;1.941;1.587;1.235;905;678;461;305;191;89;72;111
Male;Miyagi-ken;1.122.598;7.265;7.867;8.085;8.480;9.039;9.357;9.349;9.644;9.254;9.765;9.813;9.754;10.257;10.152;9.835;10.193;10.765;10.805;12.156;13.131;12.918;12.440;12.255;12.621;12.305;12.061;11.441;11.492;11.673;11.722;11.978;12.165;12.799;13.215;13.224;13.933;14.014;14.404;14.598;14.694;15.431;15.733;16.100;16.503;16.991;17.231;18.060;17.992;17.540;16.805;16.256;15.873;15.713;15.882;12.160;14.769;14.416;14.234;14.203;14.247;14.307;14.557;14.364;14.380;15.043;15.553;15.123;15.893;16.642;16.856;17.865;18.028;17.211;14.929;8.867;9.671;11.514;10.932;10.399;9.676;8.826;7.597;7.666;7.459;6.601;6.150;5.422;4.819;4.234;3.519;2.790;2.431;1.811;1.423;989;740;454;290;184;129;197
Male;Akita-ken;452.439;2.226;2.460;2.577;2.752;2.905;3.033;3.136;3.177;3.254;3.389;3.593;3.584;3.759;3.819;3.862;3.838;4.075;4.089;3.651;3.336;3.386;3.326;3.203;3.175;3.279;3.397;3.353;3.413;3.468;3.416;3.594;3.825;4.085;4.165;4.291;4.674;4.956;5.059;5.173;5.211;5.632;5.862;5.990;6.272;6.496;6.428;6.583;6.418;6.370;6.041;6.094;6.028;5.933;6.138;4.826;6.176;6.109;6.358;6.367;6.645;7.003;7.167;6.960;7.269;7.253;7.778;8.068;8.196;8.280;8.364;9.356;9.422;8.138;8.481;4.532;4.624;5.578;5.243;5.432;4.886;4.473;4.004;4.408;4.370;4.279;3.733;3.240;2.937;2.461;2.191;1.767;1.310;1.107;777;561;404;248;157;95;57;100
Male;Yamagata-ken;516.438;3.251;3.272;3.583;3.648;3.946;4.001;4.077;4.134;4.186;4.380;4.464;4.520;4.757;4.687;4.794;4.815;5.074;5.135;4.928;4.624;4.689;4.560;4.344;4.345;4.342;4.280;4.372;4.344;4.380;4.553;4.587;4.851;5.106;5.341;5.555;5.635;6.039;5.913;6.118;6.192;6.478;6.719;6.992;6.974;7.272;7.110;7.291;7.146;7.117;6.822;6.817;6.587;6.703;6.893;5.333;6.724;6.774;6.879;7.017;7.011;7.310;7.529;7.610;7.516;7.760;7.989;8.041;8.443;8.783;9.280;9.771;9.756;8.809;8.263;4.742;5.359;5.991;5.486;5.596;5.196;4.871;4.196;4.578;4.310;4.185;3.739;3.320;3.035;2.635;2.320;1.976;1.473;1.224;911;667;456;341;185;110;81;114
Male;Fukushima-ken;903.864;5.538;5.706;6.226;6.602;6.799;7.000;7.355;7.252;6.882;7.435;7.548;7.595;7.890;7.883;8.115;8.372;8.786;8.862;8.701;8.176;8.127;8.011;7.945;7.812;8.106;8.422;8.373;8.484;8.874;8.791;8.919;9.053;9.494;9.778;10.187;10.550;10.511;10.803;10.717;10.861;11.614;11.744;11.987;12.387;12.997;13.176;13.760;13.659;13.102;12.711;12.471;12.136;12.408;12.744;10.000;12.759;12.342;12.409;12.473;12.797;13.206;13.741;13.326;13.227;14.060;14.209;14.204;14.582;15.336;15.336;16.209;15.903;15.545;13.412;7.185;8.108;10.267;9.507;9.144;8.392;7.837;6.458;6.849;6.483;6.107;5.524;4.795;4.386;3.928;3.366;2.715;2.311;1.721;1.363;988;693;441;280;206;116;181
Male;Ibaraki-ken;1.430.976;8.802;9.336;9.955;10.417;10.913;11.254;11.495;11.641;11.803;12.265;12.321;12.695;13.006;12.916;12.800;13.163;13.858;13.827;14.177;13.836;14.332;14.373;14.565;14.441;14.549;14.515;14.442;14.502;14.349;14.620;14.880;15.155;15.684;16.253;16.427;16.656;17.407;17.732;17.807;17.771;18.575;19.140;19.821;20.538;21.093;22.339;23.722;23.659;23.270;22.902;21.768;21.145;20.829;20.888;15.688;19.476;18.448;17.943;17.332;17.294;17.460;18.328;17.621;17.890;19.132;19.590;19.434;20.496;21.679;22.282;22.969;23.914;23.046;22.171;14.149;14.206;16.826;16.361;16.150;15.024;13.170;10.453;10.689;9.863;8.943;7.760;6.466;5.688;4.892;4.121;3.428;2.695;2.200;1.551;1.235;863;521;352;200;132;216
Male;Tochigi-ken;964.930;6.083;6.512;6.960;7.187;7.555;7.960;7.700;7.879;7.968;8.280;8.477;8.519;8.985;8.693;8.845;9.097;9.242;9.345;8.988;8.652;8.761;8.735;9.055;9.231;9.645;9.950;10.037;9.880;10.029;10.022;10.485;10.437;10.816;11.301;11.364;11.857;12.161;12.324;12.382;12.436;13.014;13.453;13.624;14.191;14.680;15.340;16.109;16.244;15.780;15.340;14.290;14.145;13.658;13.791;10.599;13.083;12.453;12.378;11.821;11.974;12.235;12.707;12.413;12.350;13.213;13.713;13.409;14.143;14.569;15.202;15.882;16.338;15.973;14.751;9.103;8.997;10.643;10.023;9.754;9.036;7.974;6.445;6.504;6.087;5.580;4.964;4.258;3.744;3.326;2.813;2.212;1.877;1.500;1.028;766;615;411;242;131;72;125
Male;Gumma-ken;959.411;6.115;6.338;6.810;6.944;7.240;7.451;7.607;7.780;7.696;8.310;8.412;8.777;8.983;8.798;8.797;9.160;9.519;9.612;9.701;9.536;9.644;9.623;9.618;9.781;9.403;9.715;9.780;9.554;9.622;9.525;9.857;9.980;10.142;10.302;10.401;10.813;11.112;11.299;11.440;11.715;12.207;12.689;13.253;13.665;14.385;14.816;15.966;16.053;15.934;15.311;14.640;14.316;14.337;14.222;10.292;13.423;12.534;11.902;11.758;11.491;11.548;12.021;11.693;11.671;12.328;13.248;12.476;13.182;13.972;14.448;15.459;16.375;15.858;15.484;9.978;9.696;11.493;10.712;10.708;9.916;8.654;6.970;7.004;6.675;6.123;5.296;4.864;4.180;3.634;3.163;2.623;2.152;1.689;1.227;952;710;427;285;131;107;173
