subject_id,wave,participation,EVI,EVI_reduced,equal_polit,equal_job,equal_educ,homosexuality,abortion,divorce,SVI,rel_imp,rel_person,nation_pride,parents_proud,respect_author,age,hhsize,children,gender,maritalst,education,rel_service,hhincome,distress,bfive_extra,bfive_agree,bfive_consc,bfive_neuro,bfive_openn,region,prefecture,townsize,age_sq,age_group,cum_infected_in_pref_VIC1,cum_deaths_in_pref_VIC1,emergency_in_pref_VIC1
WVS1,WVS7,W0 only,NA,NA,NA,NA,NA,0,0,0,52.777777777777786,33.3333333333333,100,33.3333333333333,33.3333333333333,50,27,4,0,Male,Single,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kansai,Osaka,"100,000-500,000",729,18-35 years,20.005238928520306,0.7468019057026812,1
WVS2,WVS7,W0 only,NA,NA,NA,NA,66.6666666666667,NA,NA,NA,83.33333333333334,100,100,33.3333333333333,66.6666666666667,100,72,1,0,Female,Single,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",5184,50+ years,36.14853903095434,1.558985830598464,1
WVS3,WVS7,W0 only,48.14814814814815,48.14814814814815,NA,NA,66.6666666666667,44.4444444444444,0,44.4444444444444,NA,0,0,0,33.3333333333333,NA,80,2,0,Female,Widowed,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Chiba,"100,000-500,000",6400,50+ years,14.002749630836599,0.6683130505626559,1
WVS4,WVS7,W0 only,33.333333333333336,33.333333333333336,NA,NA,66.6666666666667,0,0,0,NA,100,NA,0,66.6666666666667,0,74,2,0,Female,Married,Primary or Junior high school,NA,NA,NA,NA,NA,NA,NA,NA,Kanto,Chiba,"500,000 and more",5476,50+ years,14.002749630836599,0.6683130505626559,1
WVS5,WVS7,W0 only,NA,NA,NA,NA,NA,100,100,100,NA,66.6666666666667,100,0,NA,NA,75,6,3,Male,Married,University-level education,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kyushu and Okinawa,Fukuoka,"20,000-100,000",5625,50+ years,12.794014037194945,0.486834628508179,0
WVS6,WVS7,W0 only,61.111111111111114,61.111111111111114,NA,NA,66.6666666666667,55.5555555555556,55.5555555555556,55.5555555555556,77.77777777777777,100,100,33.3333333333333,33.3333333333333,100,45,4,2,Female,Married,Vocational school/University-preparator,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Kanto,Kanagawa,"100,000-500,000",2025,36-50 years,13.521212877694081,0.6928403716352451,1
WVS7,WVS7,W0 only,NA,NA,NA,NA,NA,55.5555555555556,55.5555555555556,55.5555555555556,NA,66.6666666666667,100,33.3333333333333,NA,50,61,1,2,Female,Widowed,High school,Once a week or more,NA,NA,NA,NA,NA,NA,NA,Hokkaido and Tohoku,Yamagata,"5,000-20,000",3721,50+ years,6.460510829782394,0,0
WVS8,WVS7,W0 only,NA,NA,NA,NA,NA,NA,NA,44.4444444444444,NA,NA,0,0,33.3333333333333,100,83,1,2,Female,Divorced,High school,Once a month,NA,NA,NA,NA,NA,NA,NA,Kanto,Chiba,"100,000-500,000",6889,50+ years,14.002749630836599,0.6683130505626559,1
WVS9,WVS7,W0 only,61.111111111111114,61.111111111111114,NA,NA,66.6666666666667,44.4444444444444,44.4444444444444,77.7777777777778,75,66.6666666666667,100,33.3333333333333,66.6666666666667,100,64,NA,1,Female,Married,Vocational school/University-preparator,Less often or never,NA,NA,NA,NA,NA,NA,NA,Kanto,Tokyo,"500,000 and more",4096,50+ years,36.14853903095434,1.558985830598464,1
WVS10,WVS7,W0 only,16.666666666666668,16.666666666666668,NA,NA,33.3333333333333,0,0,0,33.333333333333336,0,0,66.6666666666667,33.3333333333333,100,77,3,3,Female,Widowed,High school,Once a week or more,NA,NA,NA,NA,NA,NA,NA,Chubu,Gifu,"100,000-500,000",5929,50+ years,7.580573920197782,0.35376011627589654,0
WVS11,WVS7,W0 only,79.62962962962963,79.62962962962963,NA,NA,100,22.2222222222222,55.5555555555556,100,69.44444444444444,100,100,33.3333333333333,33.3333333333333,50,56,2,3,Female,Married,High school,Once a year,NA,NA,NA,NA,NA,NA,NA,Kyushu and Okinawa,Ooita,"20,000-100,000",3136,50+ years,5.338781263013279,0.08897968771688798,0
WVS12,WVS7,W0 only,77.77777777777777,77.77777777777777,NA,NA,100,100,22.2222222222222,44.4444444444444,NA,NA,100,0,33.3333333333333,100,24,4,0,Female,Single,High school,Only on special holidays,NA,NA,NA,NA,NA,NA,NA,Chubu,Ishikawa,"20,000-100,000",576,18-35 years,25.164985174733292,1.7659638719111084,0
