countryname,wave,EVI,SVI
Albania,WVS3,55.14504652435687,37.26851851851852
Azerbaijan,WVS3,40.48317683881065,19.58308575955635
Argentina,WVS3,53.64464459311072,26.790797076104596
Australia,WVS3,58.49604565068872,34.005193032585375
Bangladesh,WVS3,NA,11.396062490036666
Armenia,WVS3,41.699573347857665,27.871040889474074
Bosnia Herzegovina,WVS3,48.83234634815484,28.442614125753664
Brazil,WVS3,50.645569199028316,15.177391481142626
Bulgaria,WVS3,56.96173351775012,40.371117084826764
Belarus,WVS3,43.6004742972728,33.72591460826755
Chile,WVS3,47.262870044685535,27.009837198293052
China,WVS3,46.01207922550848,NA
Taiwan ROC,WVS3,41.32354425269957,37.07329317269077
Colombia,WVS3,46.954248366013076,14.844987553745192
Croatia,WVS3,60.64355608990415,37.6480280094738
Czech Rep.,WVS3,60.546613011401746,49.34193874968363
Dominican Rep.,WVS3,54.08609199169671,19.925373134328357
El Salvador,WVS3,44.29886352963276,14.01219058254234
Estonia,WVS3,49.641032138181515,53.05727554179567
Finland,WVS3,65.55983729394134,47.79814178439609
Georgia,WVS3,41.575591985428055,17.36736736736737
Germany,WVS3,67.64609481944203,55.20566922421143
Hungary,WVS3,61.967839725846844,41.05042016806723
India,WVS3,39.12119610692738,22.516258475162584
Japan,WVS3,47.06688194138656,60.161090458488225
South Korea,WVS3,40.21270866989769,NA
Latvia,WVS3,50.75830913197806,49.39950410661708
Lithuania,WVS3,45.047428380761716,35.86092715231788
Mexico,WVS3,43.002596692633595,25.071548821548824
Moldova,WVS3,41.20748519815031,28.42078189300412
Montenegro,WVS3,47.84278959810875,36.22482131254061
New Zealand,WVS3,61.83702142606253,40.756246677299316
Nigeria,WVS3,33.76340411992095,9.038704908410159
Norway,WVS3,69.5808607871223,48.725981620718464
Pakistan,WVS3,NA,NA
Peru,WVS3,42.12146222359779,17.551020408163264
Philippines,WVS3,40.321662396811845,14.656217930777126
Poland,WVS3,43.262619159243634,18.251761216166113
Puerto Rico,WVS3,47.714736012608356,10.626702997275205
Romania,WVS3,44.0689705453485,22.400284900284902
Russia,WVS3,43.7958909503625,40.056748087836176
Serbia,WVS3,49.469451203027845,36.221542643560994
Slovakia,WVS3,52.79142300194932,32.312383983028376
Slovenia,WVS3,56.623411732900784,37.02169625246549
South Africa,WVS3,47.32932356235029,15.281657478082236
Spain,WVS3,58.51972820372321,29.246848244976718
Sweden,WVS3,79.35816498316498,56.424186617556785
Switzerland,WVS3,NA,47.78312489476587
Turkey,WVS3,NA,15.422236201136856
Ukraine,WVS3,42.615378241776455,38.62219217188792
North Macedonia,WVS3,51.051278810095646,31.399902104747923
Great Britain,WVS3,NA,NA
United States,WVS3,53.769057682474624,19.2106503578839
Uruguay,WVS3,54.332259039679904,35.5827746346183
Venezuela,WVS3,45.89433034930665,12.716820299335911
Albania,WVS4,49.72718253968254,28.857670744138638
Algeria,WVS4,41.239908793985336,18.740031897926638
Argentina,WVS4,52.92430373197913,20.63614497939221
